user_id,product_id,action,timestamp,session_id,duration_seconds,device,category
U001,P043,view,2024-01-10 17:07:01,SESS_Y6DPB,133,desktop,books
U001,P055,click,2024-01-10 17:55:53,SESS_THV3A,201,desktop,sports
U001,P043,compare,2024-01-10 17:54:57,SESS_DNMMJ,142,desktop,books
U001,P002,share,2024-01-10 19:59:52,SESS_W5NGC,458,desktop,electronics
U001,P043,compare,2024-01-10 18:54:45,SESS_KWNNH,256,desktop,books
U001,P049,compare,2024-01-10 20:14:16,SESS_0FN9X,405,desktop,books
U001,P043,compare,2024-01-10 22:42:43,SESS_LJH75,281,desktop,books
U001,P059,click,2024-01-10 18:20:38,SESS_IUJV6,324,desktop,sports
U002,P028,wishlist,2024-02-23 17:20:43,SESS_W2PCN,269,desktop,food
U002,P011,click,2024-02-23 18:08:15,SESS_511MK,110,mobile,electronics
U002,P060,wishlist,2024-02-23 18:32:01,SESS_65KXV,108,mobile,sports
U002,P088,purchase,2024-02-23 19:03:46,SESS_A753L,134,mobile,toys
U002,P029,wishlist,2024-02-23 21:07:31,SESS_C11ER,114,mobile,food
U002,P079,share,2024-02-23 21:43:28,SESS_0HL9X,254,tablet,home
U002,P031,click,2024-02-23 17:35:19,SESS_VIHCW,147,mobile,food
U002,P077,purchase,2024-02-23 19:40:43,SESS_YHE7U,241,mobile,home
U003,P011,click,2024-06-07 02:04:25,SESS_O5BXX,122,desktop,electronics
U003,P004,view,2024-06-07 02:42:01,SESS_QPKI7,88,tablet,electronics
U003,P016,purchase,2024-06-07 03:20:13,SESS_4874F,368,desktop,fashion
U003,P003,add_to_cart,2024-06-07 03:27:22,SESS_J2QP8,558,mobile,electronics
U003,P010,purchase,2024-06-07 02:25:01,SESS_0CVS4,200,mobile,electronics
U003,P002,purchase,2024-06-07 05:59:50,SESS_5O7UU,140,desktop,electronics
U003,P073,purchase,2024-06-07 03:57:13,SESS_HZIOY,273,desktop,beauty
U003,P016,purchase,2024-06-07 06:40:27,SESS_9CHJ7,571,mobile,fashion
U004,P099,view,2024-04-20 16:16:30,SESS_XA3KX,65,tablet,toys
U004,P012,click,2024-04-20 16:36:05,SESS_KHMY4,69,mobile,electronics
U004,P002,click,2024-04-20 18:11:44,SESS_JA1WJ,99,mobile,electronics
U004,P002,view,2024-04-20 18:41:00,SESS_6T4UF,13,mobile,electronics
U004,P015,click,2024-04-20 19:26:42,SESS_ID25O,84,desktop,electronics
U004,P042,compare,2024-04-20 20:58:10,SESS_GOG72,86,tablet,books
U004,P044,view,2024-04-20 21:09:42,SESS_D54I3,34,mobile,books
U004,P043,view,2024-04-20 17:55:47,SESS_OKC1M,37,mobile,books
U005,P029,review,2024-07-27 05:53:34,SESS_G8JDP,246,desktop,food
U005,P089,view,2024-07-27 06:33:55,SESS_GBPS3,73,desktop,toys
U005,P045,add_to_cart,2024-07-27 07:26:14,SESS_7WXE6,289,mobile,books
U005,P087,add_to_cart,2024-07-27 06:22:37,SESS_GXN0G,184,mobile,home
U005,P056,add_to_cart,2024-07-27 09:32:06,SESS_UXQPH,272,desktop,sports
U005,P038,click,2024-07-27 08:54:29,SESS_XWD8I,188,mobile,food
U005,P028,add_to_cart,2024-07-27 09:14:10,SESS_W1Q5U,226,mobile,food
U005,P099,view,2024-07-27 11:59:19,SESS_452H2,74,desktop,toys
U006,P023,view,2024-04-06 18:41:46,SESS_Y9V86,44,tablet,fashion
